ORDER	LATENCY	ABS	TYPE
1	2994	2994	local
2	50993	53987	global
3	2822	56809	local
4	2472	59281	local
5	3350	62631	local
6	2210	64841	local
7	2139	66980	local
8	2177	69157	local
9	2281	71438	local
10	2030	73468	local
11	2487	75955	local
12	4153	80108	local
13	77242	157350	global
14	2094	159444	local
15	2192	161636	local
16	57862	219498	local
17	16277	235775	local
18	3239	239014	local
19	2015	241029	local
20	3000	244029	local
21	10650	254679	local
22	5889	260568	local
23	2163	262731	local
24	34210	296941	global
25	2308	299249	local
26	1951	301200	local
27	62637	363837	global
28	2038	365875	local
29	1845	367720	local
30	1902	369622	local
31	1707	371329	local
32	16578	387907	global
33	2689	390596	local
34	2229	392825	local
35	8991	401816	global
36	1758	403574	local
37	1879	405453	local
38	2285	407738	local
39	2510	410248	local
40	7140	417388	local
41	1369	418757	local
42	8484	427241	global
43	1679	428920	local
44	1313	430233	local
45	1193	431426	local
46	1119	432545	local
47	1373	433918	local
48	1315	435233	local
49	76396	511629	global
50	2023	513652	local
51	38716	552368	global
52	1407	553775	local
53	1592	555367	local
54	1388	556755	local
55	4559	561314	global
56	1260	562574	local
57	2579	565153	local
58	7758	572911	global
59	7275	580186	global
60	1638	581824	local
61	1788	583612	local
62	3089	586701	local
63	6031	592732	local
64	12215	604947	local
65	1793	606740	local
66	2271	609011	local
67	3148	612159	local
68	2060	614219	local
69	3691	617910	local
70	11967	629877	global
71	1812	631689	local
72	1719	633408	local
73	1284	634692	local
74	2227	636919	local
75	1729	638648	local
76	4313	642961	local
77	2032	644993	local
78	5082	650075	local
79	8442	658517	local
80	2113	660630	local
81	1798	662428	local
82	1467	663895	local
83	2276	666171	local
84	1992	668163	local
85	4351	672514	local
86	3633	676147	local
87	1953	678100	local
88	2022	680122	local
89	1701	681823	local
90	2436	684259	local
91	1792	686051	local
92	1499	687550	local
93	21044	708594	global
94	1253	709847	local
95	4452	714299	global
96	1352	715651	local
97	1415	717066	local
98	2832	719898	local
99	2050	721948	local
100	2216	724164	local
101	12875	737039	global
102	2441	739480	local
103	2216	741696	local
104	1987	743683	local
105	3266	746949	local
106	1471	748420	local
107	1246	749666	local
108	14960	764626	global
109	1799	766425	local
110	2215	768640	local
111	1530	770170	local
112	6362	776532	local
113	1580	778112	local
114	1180	779292	local
115	2288	781580	local
116	1641	783221	local
117	1936	785157	local
118	1522	786679	local
119	17364	804043	global
120	1667	805710	local
121	1381	807091	local
122	1424	808515	local
123	1507	810022	local
124	1577	811599	local
125	1765	813364	local
126	1436	814800	local
127	1711	816511	local
128	2345	818856	local
129	8682	827538	global
130	1373	828911	local
131	1410	830321	local
132	12085	842406	global
133	7684	850090	global
134	1587	851677	local
135	7149	858826	global
136	1751	860577	local
137	1760	862337	local
138	1856	864193	local
139	1465	865658	local
140	4913	870571	global
141	1703	872274	local
142	2058	874332	local
143	1513	875845	local
144	2526	878371	local
145	1690	880061	local
146	5510	885571	global
147	6026	891597	global
148	9510	901107	global
149	2396	903503	local
150	1507	905010	local
151	1425	906435	local
152	68448	974883	global
153	7294	982177	global
154	3098	985275	global
155	929	986204	local
156	6330	992534	global
157	1307	993841	local
158	1566	995407	local
159	7526	1002933	global


--------------
Stats:
	Total: 159
	Mean: 5556.085271317829
	StdDev: 10901.548922365782
	Max: 12085
	Percentile (25, 50, 75, 95, 99): (1729, 2177, 3266, 8682, 12085)
--------------

